"filename", "language", "Markdown", "JSON with Comments", "Python", "Batch", "toml", "XML", "JSON", "comment", "blank", "total"
"c:\Twitch_private\BuildPackage.bat", "Batch", 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Twitch_private\CallbackServer\CallbackServer.py", "Python", 0, 0, 38, 0, 0, 0, 0, 3, 5, 46
"c:\Twitch_private\CallbackServer\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Twitch_private\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Twitch_private\Twitch.code-workspace", "JSON with Comments", 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Twitch_private\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Twitch_private\pyproject.toml", "toml", 0, 0, 0, 0, 30, 0, 0, 0, 9, 39
"c:\Twitch_private\secret.py", "Python", 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\Twitch_private\src\Twitch\API\Exceptions.py", "Python", 0, 0, 62, 0, 0, 0, 0, 0, 30, 92
"c:\Twitch_private\src\Twitch\API\Resources\Ads.py", "Python", 0, 0, 17, 0, 0, 0, 0, 3, 5, 25
"c:\Twitch_private\src\Twitch\API\Resources\Analytics.py", "Python", 0, 0, 58, 0, 0, 0, 0, 48, 11, 117
"c:\Twitch_private\src\Twitch\API\Resources\Bits.py", "Python", 0, 0, 104, 0, 0, 0, 0, 9, 27, 140
"c:\Twitch_private\src\Twitch\API\Resources\ChannelPoints.py", "Python", 0, 0, 188, 0, 0, 0, 0, 18, 20, 226
"c:\Twitch_private\src\Twitch\API\Resources\Channels.py", "Python", 0, 0, 110, 0, 0, 0, 0, 15, 23, 148
"c:\Twitch_private\src\Twitch\API\Resources\Charity.py", "Python", 0, 0, 47, 0, 0, 0, 0, 6, 6, 59
"c:\Twitch_private\src\Twitch\API\Resources\Chat.py", "Python", 0, 0, 246, 0, 0, 0, 0, 36, 41, 323
"c:\Twitch_private\src\Twitch\API\Resources\Clips.py", "Python", 0, 0, 54, 0, 0, 0, 0, 0, 3, 57
"c:\Twitch_private\src\Twitch\API\Resources\Entitlements.py", "Python", 0, 0, 47, 0, 0, 0, 0, 0, 8, 55
"c:\Twitch_private\src\Twitch\API\Resources\EventSub.py", "Python", 0, 0, 71, 0, 0, 0, 0, 0, 11, 82
"c:\Twitch_private\src\Twitch\API\Resources\Extensions.py", "Python", 0, 0, 245, 0, 0, 0, 0, 118, 42, 405
"c:\Twitch_private\src\Twitch\API\Resources\Games.py", "Python", 0, 0, 36, 0, 0, 0, 0, 0, 5, 41
"c:\Twitch_private\src\Twitch\API\Resources\Goals.py", "Python", 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"c:\Twitch_private\src\Twitch\API\Resources\HypeTrain.py", "Python", 0, 0, 35, 0, 0, 0, 0, 0, 7, 42
"c:\Twitch_private\src\Twitch\API\Resources\JWTGeneraotr.py", "Python", 0, 0, 19, 0, 0, 0, 0, 15, 4, 38
"c:\Twitch_private\src\Twitch\API\Resources\Moderation.py", "Python", 0, 0, 305, 0, 0, 0, 0, 237, 58, 600
"c:\Twitch_private\src\Twitch\API\Resources\Music.py", "Python", 0, 0, 81, 0, 0, 0, 0, 0, 13, 94
"c:\Twitch_private\src\Twitch\API\Resources\Polls.py", "Python", 0, 0, 69, 0, 0, 0, 0, 0, 14, 83
"c:\Twitch_private\src\Twitch\API\Resources\Predictions.py", "Python", 0, 0, 75, 0, 0, 0, 0, 0, 13, 88
"c:\Twitch_private\src\Twitch\API\Resources\Raids.py", "Python", 0, 0, 27, 0, 0, 0, 0, 0, 7, 34
"c:\Twitch_private\src\Twitch\API\Resources\ResponseTypes.py", "Python", 0, 0, 112, 0, 0, 0, 0, 0, 5, 117
"c:\Twitch_private\src\Twitch\API\Resources\Schedule.py", "Python", 0, 0, 114, 0, 0, 0, 0, 0, 19, 133
